老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20210531,14,26,89,68,65,76,60,23,9,430
20210601,25,65,69,71,68,79,59,18,5,459
20210602,28,43,101,119,133,148,70,27,8,677
20210603,30,57,115,111,121,130,78,30,9,681
20210604,43,52,115,124,129,116,85,16,15,695
20210605,40,60,125,116,119,137,103,33,11,744
20210606,25,47,112,74,113,92,60,28,5,556
20210607,25,31,90,81,84,83,68,17,6,485
20210608,25,34,80,79,83,84,53,10,6,454
20210609,33,34,99,99,144,110,56,23,4,602
20210610,35,31,109,107,131,103,69,19,6,610
20210611,25,42,113,99,95,102,58,13,9,556
20210612,41,47,94,98,114,82,67,16,6,565
20210613,24,31,69,69,75,82,72,23,7,452
20210614,15,32,68,73,77,74,40,17,3,399
20210615,22,24,59,65,73,81,32,11,6,373
20210616,47,52,101,86,109,75,55,14,6,545
20210617,26,37,91,94,93,100,74,22,3,540
20210618,29,38,97,86,94,80,70,10,3,507
20210619,31,44,88,65,84,91,57,21,1,482
20210620,20,26,79,75,74,80,58,11,6,429
20210621,21,39,50,48,74,70,39,13,3,357
20210622,18,38,61,68,76,87,32,10,4,394
20210623,39,67,121,97,119,121,58,17,6,645
20210624,33,50,120,104,125,94,62,21,1,610
20210625,61,65,127,99,104,101,55,14,8,634
20210626,49,58,130,133,105,125,52,13,3,668
20210627,52,45,133,102,119,94,59,7,3,614
20210628,36,33,112,82,88,85,48,13,4,501
20210629,27,66,139,115,96,94,40,13,5,595
20210630,34,58,195,141,168,138,42,15,3,794
20210701,35,78,170,156,138,114,51,14,5,761
20210702,48,74,204,135,158,144,52,8,2,825
20210703,48,99,211,138,143,100,46,9,0,794
20210704,27,79,171,111,159,122,57,10,7,743
20210705,43,72,159,129,133,129,33,4,9,711
20210706,42,74,171,128,148,124,38,14,7,746
20210707,33,121,335,214,226,194,62,20,6,1211
20210708,57,119,352,227,219,214,62,21,4,1275
20210709,66,133,323,238,235,222,77,15,7,1316
20210710,53,147,320,230,257,244,79,27,21,1378
20210711,58,128,323,243,234,240,69,24,5,1324
20210712,65,108,275,169,188,220,50,18,7,1100
20210713,87,105,293,209,207,174,57,15,3,1150
20210714,78,179,427,306,278,243,74,21,7,1613
20210715,104,154,388,303,292,238,89,19,12,1599
20210716,80,135,379,300,268,242,109,14,8,1535
20210717,76,137,376,217,244,262,103,24,10,1449
20210718,88,146,351,238,247,256,92,29,6,1453
20210719,121,132,288,198,203,204,75,21,9,1251
20210720,96,130,271,208,243,217,84,21,8,1278
20210721,123,212,403,292,321,287,103,30,10,1781
20210722,119,177,503,303,330,286,87,27,9,1841
20210723,111,164,376,286,271,259,118,32,12,1629
20210724,104,160,397,244,273,282,110,42,15,1627
20210725,79,210,327,255,244,211,113,35,13,1487
20210726,84,150,279,228,217,224,103,27,6,1318
20210727,106,151,325,204,239,217,96,18,7,1363
20210728,127,215,394,306,325,333,135,41,19,1895
20210729,124,186,399,240,295,264,115,36,14,1673
20210730,101,182,352,271,309,306,120,49,20,1710
20210731,96,178,349,241,264,239,132,28,11,1538
20210801,95,174,312,213,238,245,115,36,14,1442
20210802,85,156,255,180,219,195,78,32,18,1218
20210803,98,137,235,185,198,205,101,31,10,1200
20210804,97,189,400,282,280,300,127,39,11,1725
20210805,96,204,421,262,290,293,147,46,16,1775
20210806,128,194,362,276,255,285,149,51,4,1704
